text,label
"Do you want to take the lead?",LEADER
"Would you prefer to go first?",LEADER
"Do you want to start off first?",LEADER
"Would you like to go ahead?",LEADER
"I often spend time at a leisure spot.",FOLLOWER
"I usually go to a recreational place.",FOLLOWER
"I often visit a leisure area.",FOLLOWER
"I regularly go to a place to relax.",FOLLOWER
"I frequently go somewhere for leisure.",FOLLOWER
"I often head to a spot to unwind.",FOLLOWER
"Do you know the way there?",LEADER
"Do you know how to reach that place?",LEADER
"Are you familiar with how to get there?",LEADER
"Do you know the route to that place?",LEADER
"Do you know how to find it?",LEADER
"Do you know how we can get there?",LEADER
"Come inside.",FOLLOWER
"Step in.",FOLLOWER
"Go ahead and come in.",FOLLOWER
"Please come on in.",FOLLOWER
"Come right in.",FOLLOWER
"Feel free to enter.",FOLLOWER
"I can take you there if you want.",FOLLOWER
"I’ll guide you there if you’d like.",FOLLOWER
"I can show you the way if you want to go.",FOLLOWER
"I’ll bring you there if you’d like.",FOLLOWER
"I’ll lead you there if you’re interested.",FOLLOWER
"I can show you how to get there if you wish.",FOLLOWER
"Would you like to go shopping with me?",FOLLOWER
"Want to come shopping together?",FOLLOWER
"Do you feel like going shopping with me?",FOLLOWER
"Would you like to join me for shopping?",FOLLOWER
"How about coming shopping with me?",FOLLOWER
"Do you want to go out shopping with me?",FOLLOWER
"We should probably get back to work.",FOLLOWER
"Let’s return to work.",FOLLOWER
"Time to get back to work.",FOLLOWER
"We’d better start working again.",FOLLOWER
"Let’s go back to our tasks.",FOLLOWER
"We should resume our work.",FOLLOWER
"Would you like to come with me?",FOLLOWER
"Do you feel like joining me?",FOLLOWER
"Want to go together?",FOLLOWER
"Would you like to go along with me?",FOLLOWER
"Do you want to tag along with me?",FOLLOWER
"Want to come along?",FOLLOWER
"I need your help!",LEADER
"You have to help me out!",LEADER
"Please. I need assistance!",LEADER
"You must give me a hand!",LEADER
"I really need your help!",LEADER
"You’ve got to help me here!",LEADER
"I’ll take the stairs instead.",FOLLOWER
"I’m going to use the stairs.",FOLLOWER
"I’ll go up by the stairs.",FOLLOWER
"I’m choosing the stairs.",FOLLOWER
"I’ll walk up the stairs.",FOLLOWER
"I’m taking the stairs this time.",FOLLOWER
"You should join me!",FOLLOWER
"Come along with me!",FOLLOWER
"You really need to come with me!",FOLLOWER
"You’d better come too!",FOLLOWER
"Come with me you’ll enjoy it!",FOLLOWER
"You have to come along with me!",FOLLOWER
"So. Where do you think we should go?",LEADER
"Where shall we head to?",LEADER
"Where do you suggest we go?",LEADER
"Where should we head next?",LEADER
"So. What’s our next destination?",LEADER
"Where do you think we ought to go?",LEADER
"I’m going out to visit my aunt.",FOLLOWER
"I’ll head out to see my aunt.",FOLLOWER
"I’m planning to visit my aunt.",FOLLOWER
"I’m going to pay my aunt a visit.",FOLLOWER
"I’ll go out to see my aunt today.",FOLLOWER
"I’m off to visit my aunt.",FOLLOWER
"I’ll give you a tour and introduce you to the department heads.",FOLLOWER
"I’ll take you around and let you meet the managers.",FOLLOWER
"I’ll show you the place and introduce you to the team leads.",FOLLOWER
"I’ll guide you around and present you to the department supervisors.",FOLLOWER
"I’ll walk you through and introduce you to the department heads.",FOLLOWER
"I’ll take you on a tour and introduce you to the managers.",FOLLOWER
"We could take a stroll in the park.",FOLLOWER
"Let’s go for a walk in the park.",FOLLOWER
"How about a walk in the park?",FOLLOWER
"Maybe we could walk through the park.",FOLLOWER
"Let’s take a short walk in the park.",FOLLOWER
"Want to go for a stroll in the park?",FOLLOWER
"Can you give me a ride?",LEADER
"Would you be able to drive me?",LEADER
"Could you take me there by car?",LEADER
"Can you take me by driving?",LEADER
"Would you mind driving me?",LEADER
"Can you give me a lift?",LEADER
"I’m going to meet with other collectors.",FOLLOWER
"I have a meeting with some collectors.",FOLLOWER
"I’m meeting a few fellow collectors.",FOLLOWER
"I’ve got an appointment with other collectors.",FOLLOWER
"I’m seeing some other collectors today.",FOLLOWER
"I’m gathering with a few collectors.",FOLLOWER
"I’m leaving on my own now.",FOLLOWER
"I’m going out by myself.",FOLLOWER
"I’m heading out alone.",FOLLOWER
"I’m stepping out on my own.",FOLLOWER
"I’m going out solo.",FOLLOWER
"I’m going by myself.",FOLLOWER
"We’re helping Mr. Smith plant some flowers.",FOLLOWER
"We’ll assist Mr. Smith with planting flowers.",FOLLOWER
"We’re going to give Mr. Smith a hand with the garden.",FOLLOWER
"We’re going to help Mr. Smith with some flower planting.",FOLLOWER
"We’ll be helping Mr. Smith put in some flowers.",FOLLOWER
"We’re assisting Mr. Smith in planting flowers.",FOLLOWER
"Are you moving to this place?",LEADER
"Are you relocating here?",LEADER
"So. You’re moving here?",LEADER
"Are you coming to live here?",LEADER
"You’re settling here right?",LEADER
"Are you planning to move here?",LEADER
"Where should we go this time?",LEADER
"What’s a good place to go this time?",LEADER
"Where do you think we should go now?",LEADER
"Where can we head this time?",LEADER
"Where shall we go on this occasion?",LEADER
"Any idea where to go this time?",LEADER
"I’m searching for books for my mom.",LEADER
"I’m trying to find some books for my mother.",LEADER
"I’m looking to buy books for my mom.",LEADER
"I need to get some books for my mother.",LEADER
"I’m finding some books as a gift for my mom.",LEADER
"I’m looking around for books for my mother.",LEADER
"How about going for a walk?",FOLLOWER
"Want to take a walk?",FOLLOWER
"Shall we go for a walk?",FOLLOWER
"Let’s take a walk what do you think?",FOLLOWER
"Maybe we should go for a walk.",FOLLOWER
"Would you like to go walking?",FOLLOWER
"Alright. Come with me.",FOLLOWER
"Yes. Follow along.",FOLLOWER
"Okay. Follow my lead.",FOLLOWER
"Sure. Come this way.",FOLLOWER
"Yes. Walk with me.",FOLLOWER
"Alright. Follow behind me.",FOLLOWER
"Why don’t you go in front of me?",LEADER
"You should go ahead of me.",LEADER
"Go on before me.",LEADER
"Why don’t you lead the way?",LEADER
"You can go first if you want.",LEADER
"Please. Go ahead of me.",LEADER
"Could you show me that?",LEADER
"Can you demonstrate it for me?",LEADER
"Would you mind showing it to me?",LEADER
"Can you point it out to me?",LEADER
"Can you show me how it looks?",LEADER
"Would you show it to me please?",LEADER
"I’ll try to find out where the school is.",LEADER
"I’m going to look for the school’s location.",LEADER
"I’ll try to discover where the school is located.",LEADER
"I’ll find out where the school can be found.",LEADER
"I’m going to see where the school is.",LEADER
"I’ll try to locate the school.",LEADER
"Let’s step outside and talk.",FOLLOWER
"Let’s go out and have a chat.",FOLLOWER
"Come on. Let’s talk outside.",FOLLOWER
"Let’s go outdoors to talk.",FOLLOWER
"Let’s head out for a conversation.",FOLLOWER
"Let’s move outside to discuss.",FOLLOWER
"Head back the same way you came.",LEADER
"Return the way you arrived.",LEADER
"Go back along your previous path.",LEADER
"Retrace your steps.",LEADER
"Go back in the direction you came from.",LEADER
"Follow your path back.",LEADER
"Let’s step out and enjoy the air.",FOLLOWER
"Let’s go outside to get some fresh air.",FOLLOWER
"Come on. Let’s enjoy the breeze.",FOLLOWER
"Let’s go out for some fresh air.",FOLLOWER
"Let’s get outside and relax a bit.",FOLLOWER
"Let’s go breathe some fresh air.",FOLLOWER
"Alright. Let’s grab a drink.",FOLLOWER
"Okay. Let’s get something to drink together.",FOLLOWER
"Let’s go have a drink.",FOLLOWER
"Sure. Let’s find something to drink.",FOLLOWER
"Alright. Time for a drink.",FOLLOWER
"Let’s get a beverage.",FOLLOWER
"I’ll let you go ahead.",LEADER
"You can go before me.",LEADER
"I’ll let you take the lead.",LEADER
"I’ll let you go in front.",LEADER
"You go first I’ll follow.",LEADER
"I’m letting you go ahead of me.",LEADER
"Let’s head into the school auditorium.",FOLLOWER
"Let’s go inside the auditorium.",FOLLOWER
"Come on. Let’s enter the school hall.",FOLLOWER
"Let’s go into the assembly hall.",FOLLOWER
"Let’s move into the auditorium.",FOLLOWER
"Let’s go inside to the school auditorium.",FOLLOWER
"I’ll go alone thank you.",FOLLOWER
"I’ll handle it myself thanks.",FOLLOWER
"I’ll go on my own thanks.",FOLLOWER
"Thanks but I’ll go by myself.",FOLLOWER
"I’ll do it alone. Appreciate it.",FOLLOWER
"I’ll go there on my own thanks.",FOLLOWER
"I need to go to the bathroom.",LEADER
"I want to use the restroom.",LEADER
"I have to go to the toilet.",LEADER
"I need to find a restroom.",LEADER
"I’d like to go to the washroom.",LEADER
"I want to use the bathroom.",LEADER
"Sorry. I have to leave now.",FOLLOWER
"I need to head out right away.",FOLLOWER
"I should be going at this moment.",FOLLOWER
"I must get going now.",FOLLOWER
"I really should go now.",FOLLOWER
"I have to go immediately.",FOLLOWER
"Take me to the hospital please!",LEADER
"I need to get to a hospital quickly!",LEADER
"Can you bring me to the hospital?",LEADER
"Please drive me to the hospital!",LEADER
"I have to go to the hospital now!",LEADER
"Bring me straight to a hospital!",LEADER
"I'm heading to the outlet mall.",FOLLOWER
"I'm going to shop at the outlet center.",FOLLOWER
"I'm planning to visit the outlet.",FOLLOWER
"I’ll go to the outlet mall.",FOLLOWER
"I’m on my way to the outlet center.",FOLLOWER
"I intend to go to the outlet stores.",FOLLOWER
"Can you tell me where the visa office is?",LEADER
"Do you happen to know the visa office location?",LEADER
"Where exactly is the visa office?",LEADER
"Could you show me the way to the visa office?",LEADER
"Do you know how to get to the visa office?",LEADER
"Can you point me to the visa office?",LEADER
"I’ll take you there.",FOLLOWER
"I’ll guide you to that place.",FOLLOWER
"I’ll bring you there myself.",FOLLOWER
"I’ll show you the way to get there.",FOLLOWER
"I can walk you to that place.",FOLLOWER
"I’ll lead you there safely.",FOLLOWER
"I’m going to the library. Would you like to join?",FOLLOWER
"I’m heading to the library. Want to come?",FOLLOWER
"I’m off to the library. Are you coming too?",FOLLOWER
"I’m on my way to the library. Care to join me?",FOLLOWER
"I’m going to the library. Do you want to come along?",FOLLOWER
"I plan to go to the library. Are you joining?",FOLLOWER
"I’ll show you how to get there.",FOLLOWER
"Let me guide you to the place.",FOLLOWER
"I can lead you along the path.",FOLLOWER
"I’ll take you in the right direction.",FOLLOWER
"Let me walk you through the route.",FOLLOWER
"I’ll guide you all the way there.",FOLLOWER
"Follow me please.",FOLLOWER
"Come along with me.",FOLLOWER
"Walk after me please.",FOLLOWER
"Stay behind me and follow.",FOLLOWER
"Join me. I’ll lead the way.",FOLLOWER
"Please. Walk with me.",FOLLOWER
"I’d like to go for a picnic.",LEADER
"I want to have a picnic outside.",LEADER
"Let’s go out for a picnic.",LEADER
"I feel like going on a picnic.",LEADER
"I’d love to go have a picnic.",LEADER
"I’m planning to go for a picnic.",LEADER
"I have to leave now.",FOLLOWER
"I really must go.",FOLLOWER
"I should get going soon.",FOLLOWER
"I need to head out now.",FOLLOWER
"I have to go right away.",FOLLOWER
"I must be leaving.",FOLLOWER
"How about checking out the theater?",LEADER
"Shall we take a look around the theater?",LEADER
"Why don’t we explore the theater?",LEADER
"Would you like to see the theater?",LEADER
"Let’s have a look around the theater.",LEADER
"How about we go see the theater?",LEADER
"I’m not sure where the bookstore is located.",LEADER
"I have no idea where the bookstore might be.",LEADER
"I don’t know the location of the bookstore.",LEADER
"I’m unsure about where the bookstore is.",LEADER
"I’m not certain where to find the bookstore.",LEADER
"I don’t know how to get to the bookstore.",LEADER
"We’re heading to the cinema.",FOLLOWER
"We’re going to watch a movie.",FOLLOWER
"We’re on our way to the movie theater.",FOLLOWER
"We’re going to see a film.",FOLLOWER
"We’re off to the movies now.",FOLLOWER
"We’re planning to go to the cinema.",FOLLOWER
"I can’t decide on a place to go.",LEADER
"I’m not sure where I want to go.",LEADER
"I’m having trouble choosing where to go.",LEADER
"I can’t make up my mind about where to go.",LEADER
"I still don’t know where to go.",LEADER
"I’m uncertain about where I should go.",LEADER
"We could take a walk and get some fresh air.",FOLLOWER
"Let’s go for a walk to enjoy the breeze.",FOLLOWER
"Maybe we can stroll around and enjoy the air.",FOLLOWER
"Let’s take a walk outside for some fresh air.",FOLLOWER
"We can have a walk and breathe some fresh air.",FOLLOWER
"Let’s walk around and relax in the fresh air.",FOLLOWER
"Where will the concert take place tonight?",LEADER
"Do you know the venue for tonight’s concert?",LEADER
"Where is the concert happening this evening?",LEADER
"Where’s tonight’s concert being held?",LEADER
"Can you tell me where the concert is tonight?",LEADER
"Where exactly is the concert this evening?",LEADER
"We can check the GPS to find the best way home.",LEADER
"Let’s use the navigation to figure out the best route home.",LEADER
"We can look up the map to get the best route back.",LEADER
"Let’s check the navigation system for the quickest way home.",LEADER
"We can use the map to find the best path home.",LEADER
"Let’s consult the GPS to plan our way home.",LEADER
"I think I’ll just go on foot.",FOLLOWER
"I’ll just walk there myself.",FOLLOWER
"I’d rather walk instead.",FOLLOWER
"I think I’ll take a walk instead of driving.",FOLLOWER
"I’ll walk to get there.",FOLLOWER
"I prefer walking.",FOLLOWER
"Can you show me where to find it?",LEADER
"Would you mind showing me where it is?",LEADER
"Could you guide me to where I can find it?",LEADER
"Can you help me locate it?",LEADER
"Would you show me where it’s located?",LEADER
"Can you point me in the direction of it?",LEADER
"Let’s find a quiet spot to sit and have a drink.",FOLLOWER
"Let’s look for a peaceful place to sit and enjoy a beverage.",FOLLOWER
"Let’s find a calm place to sit down and have something to drink.",FOLLOWER
"Let’s sit somewhere quiet and get a drink.",FOLLOWER
"Let’s pick a quiet seat and relax with a drink.",FOLLOWER
"Let’s find a cozy spot to sit and have a beverage.",FOLLOWER
"Let’s walk to that place.",FOLLOWER
"Let’s go there on foot.",FOLLOWER
"Let’s take a walk to get there.",FOLLOWER
"Let’s walk all the way there.",FOLLOWER
"Let’s go by walking.",FOLLOWER
"Let’s head there by foot.",FOLLOWER
"Do you happen to know where it is?",LEADER
"Can you tell me where that place is?",LEADER
"Do you know the location of that place?",LEADER
"Would you know where that is located?",LEADER
"Could you tell me where that is?",LEADER
"Do you have any idea where it might be?",LEADER
"Will you come with me?",FOLLOWER
"Are you joining me?",FOLLOWER
"Would you like to come along with me?",FOLLOWER
"Are you coming along?",FOLLOWER
"Do you want to come with me?",FOLLOWER
"Will you be coming too?",FOLLOWER
"I'm going out shopping.",FOLLOWER
"I’m heading to do some shopping.",FOLLOWER
"I’m planning to go shopping.",FOLLOWER
"I’m off to the store.",FOLLOWER
"I’ll go out and buy a few things.",FOLLOWER
"I’m going to the shops.",FOLLOWER
"Come with me to the backyard.",FOLLOWER
"Follow me into the backyard.",FOLLOWER
"Walk with me to the backyard.",FOLLOWER
"Let’s go to the backyard follow me.",FOLLOWER
"Come on. I’ll show you the backyard.",FOLLOWER
"Head with me to the backyard.",FOLLOWER
"Would you like to grab something to eat together?",FOLLOWER
"How about getting some food with me?",FOLLOWER
"Do you want to have a meal with me?",FOLLOWER
"Would you like to eat something together?",FOLLOWER
"Want to join me for something to eat?",FOLLOWER
"Shall we get something to eat together?",FOLLOWER
"We could try that new Chinese restaurant.",FOLLOWER
"Let’s go to the new Chinese place.",FOLLOWER
"How about eating at that new Chinese restaurant?",FOLLOWER
"We can check out the new Chinese restaurant.",FOLLOWER
"Let’s visit that new Chinese restaurant.",FOLLOWER
"We might go to the new Chinese place.",FOLLOWER
"Could you tell me where to park?",LEADER
"Do you know where I can park?",LEADER
"Can you show me a place to park?",LEADER
"Where am I allowed to park?",LEADER
"Can you help me find a parking spot?",LEADER
"Do you know any place I can park?",LEADER
"How about taking a walk in the hills?",FOLLOWER
"Let’s go for a walk up in the hills.",FOLLOWER
"Why don’t we take a stroll in the hills?",FOLLOWER
"We could go walking through the hills.",FOLLOWER
"Let’s have a walk around the hills.",FOLLOWER
"Maybe we can walk in the hills.",FOLLOWER
"I’m not sure where to go.",LEADER
"I don’t know which way I should go.",LEADER
"I’m uncertain about where I need to go.",LEADER
"I can’t decide where I’m supposed to go.",LEADER
"I’m unsure of my destination.",LEADER
"I have no idea which direction to take.",LEADER
"I’ll ask the old lady in the reception office.",FOLLOWER
"Let me check with the woman at reception.",FOLLOWER
"I’ll go talk to the old woman in the office.",FOLLOWER
"I’ll ask that lady in the reception area.",FOLLOWER
"I’ll go see the old woman at the reception desk.",FOLLOWER
"Let me talk to the receptionist over there.",FOLLOWER
"That shaded spot looks really nice.",FOLLOWER
"Hey that place under the shade looks comfy.",FOLLOWER
"That spot in the shade seems perfect.",FOLLOWER
"Look that shaded area looks so comfortable.",FOLLOWER
"That place in the shade looks inviting.",FOLLOWER
"I like that shady spot—it looks comfortable.",FOLLOWER
"I think I’ll go take a look at that now.",FOLLOWER
"I’ll go check it out right now.",FOLLOWER
"I’m going to see that now.",FOLLOWER
"I’ll take a look at it immediately.",FOLLOWER
"I think I’ll go explore that now.",FOLLOWER
"I’ll go have a look at that now.",FOLLOWER
"Which college are you planning to attend?",LEADER
"Which university are you heading to?",LEADER
"Do you know which university you’ll go to?",LEADER
"Which school will you be going to?",LEADER
"Where are you planning to study?",LEADER
"Which university are you going to join?",LEADER
"First we’ll grab a newspaper then head to the library.",FOLLOWER
"We’ll buy a newspaper first and then go to the library.",FOLLOWER
"Let’s get a newspaper before going to the library.",FOLLOWER
"First we’ll stop for a newspaper then we’ll visit the library.",FOLLOWER
"We’ll go pick up a newspaper and afterward go to the library.",FOLLOWER
"Let’s buy a newspaper and then make our way to the library.",FOLLOWER
"How can we reach the library from here?",LEADER
"Which way do we take to get to the library?",LEADER
"Can you tell me how to get to the library from here?",LEADER
"How do we find our way to the library?",LEADER
"What’s the best route to the library from here?",LEADER
"Do you know how we can get to the library from this spot?",LEADER
"Can you assist me with class registration?",LEADER
"Could you help me sign up for a course?",LEADER
"Would you help me register for a class?",LEADER
"I need some help enrolling in a class could you assist?",LEADER
"Can you help me with enrolling in a class?",LEADER
"Could you guide me through registering for a class?",LEADER
"Please move to the front.",FOLLOWER
"Come forward please.",FOLLOWER
"Step up to the front.",FOLLOWER
"Walk to the front please.",FOLLOWER
"Head to the front area please.",FOLLOWER
"Please proceed to the front.",FOLLOWER
"Take them to my wife’s car.",LEADER
"Please bring those items to my wife’s car.",LEADER
"Could you carry them to my wife’s car?",LEADER
"Deliver them to my wife’s car please.",LEADER
"Bring those things over to my wife’s car.",LEADER
"Move them to my wife’s car please.",LEADER
"Excuse me could you please assist me?",LEADER
"Sorry to bother you but could you help me?",LEADER
"Excuse me I was wondering if you could assist me?",LEADER
"Pardon me might you be able to help me?",LEADER
"Excuse me could I ask for your help?",LEADER
"Sorry would you mind giving me a hand?",LEADER
"Is there a place where I can buy slides and postcards?",LEADER
"Can you tell me where to buy slides and picture postcards?",LEADER
